yob,sex,firstname,frequency,proportion
2023,F,Phoebe,96,0.000668994
2023,F,Zoe,108,0.000752618
2023,F,Harriet,30,0.000209061
2023,F,Stella,29,0.000202092
2023,F,Lottie,27,0.000188155
2023,F,Hallie,24,0.000167249
2023,F,Evie,169,0.001177709
2023,F,Penelope,125,0.000871086
2023,F,Ada,59,0.000411153
2023,F,Mackenzie,113,0.000787462
2023,F,Ariana,78,0.000543558
2023,F,Callie,75,0.000522652
2023,F,Charlotte,279,0.001944264
2023,F,Mackenzie,126,0.000878055
2023,F,Millie,49,0.000341466
2023,F,Emma,18,0.000125436
2023,F,Aria,142,0.000989554
2023,F,Eliza,55,0.000383278
2023,F,Florence,182,0.001268302
2023,F,Georgia,137,0.00095471
2023,F,Savannah,83,0.000578401
2023,F,Zahra,71,0.000494777
2023,F,Billie,126,0.000878055
2023,F,Maya,22,0.000153311
2023,F,Imogen,19,0.000132405
2023,F,Eden,17,0.000118468
2023,F,Esther,17,0.000118468
2023,F,Brooklyn,15,0.00010453
2023,F,Matilda,256,0.001783985
2023,F,Billie,147,0.001024397
2023,F,Sophia,267,0.00186064
2023,F,Zara,156,0.001087116
2023,F,Elizabeth,77,0.000536589
2023,F,Mila,52,0.000362372
2023,F,Freya,39,0.000271779
2023,F,Peyton,21,0.000146342
2023,F,Nina,65,0.000452965
2023,F,Rose,52,0.000362372
2023,F,Willow,228,0.001588861
2023,F,Ayla,128,0.000891992
2023,F,Lara,81,0.000564464
2023,F,Lottie,77,0.000536589
2023,F,Chloe,125,0.000871086
2023,F,Octavia,62,0.000432059
2023,F,Harper,64,0.000445996
2023,F,Amelia,333,0.002320574
2023,F,Sadie,141,0.000982585
2023,F,Freya,100,0.000696869
2023,F,Amara,98,0.000682932
2023,F,Luna,127,0.000885024
2023,F,Nora,66,0.000459934
2023,F,Grace,67,0.000466902
2023,F,Frankie,33,0.000229967
2023,F,Riley,17,0.000118468
2023,F,Olive,86,0.000599307
2023,F,Bella,70,0.000487808
2023,F,Luna,153,0.00106621
2023,F,Valentina,71,0.000494777
2023,F,Poppy,103,0.000717775
2023,F,Harriet,77,0.000536589
2023,F,Rose,60,0.000418121
2023,F,Lily,223,0.001554018
2023,F,Zara,121,0.000843211
2023,F,Sofia,118,0.000822305
2023,F,Lola,83,0.000578401
2023,F,Grace,242,0.001686423
2023,F,Emilia,146,0.001017429
2023,F,Georgia,119,0.000829274
2023,F,Sienna,114,0.000794431
2023,F,Delilah,75,0.000522652
2023,F,Daisy,54,0.000376309
2023,F,Layla,135,0.000940773
2023,F,Harriet,96,0.000668994
2023,F,Aria,155,0.001080147
2023,F,Ivy,73,0.000508714
2023,F,Isabella,55,0.000383278
2023,F,Emilia,36,0.000250873
2023,F,Florence,124,0.000864118
2023,F,Lottie,64,0.000445996
2023,F,Jasmine,63,0.000439027
2023,F,Millie,169,0.001177709
2023,F,Thea,73,0.000508714
2023,F,Isla,285,0.001986077
2023,F,Grace,180,0.001254364
2023,F,Olivia,86,0.000599307
2023,F,Sophia,42,0.000292685
2023,F,Luna,31,0.000216029
2023,F,Delilah,26,0.000181186
2023,F,Amelia,399,0.002780507
2023,F,Penelope,149,0.001038335
2023,F,Poppy,135,0.000940773
