year,sex,name,frequency,proportion
2023,F,Hadlie,3,
2023,F,Jamilah,3,
2023,F,Jara,3,
2023,F,Jovanah,3,
2023,F,Kiko,3,
2023,F,Laker,3,
2023,F,Lateen,3,
2023,F,Leia-rose,3,
2023,F,Leusa,3,
2023,F,Liyara,3,
2023,F,Lyra-mae,3,
2023,F,Mia-faith,3,
2023,F,Naysha,3,
2023,F,Nihal,3,
2023,F,Nolah,3,
2023,F,Nuhamin,3,
2023,F,Olivia-louise,3,
2023,F,Olwyn,3,
2023,F,Piper-rose,3,
2023,F,Romaysa,3,
2023,F,Sia-rose,3,
2023,F,Susana,3,
2023,F,Taara,3,
2023,F,Zenya,3,
2023,F,Zohal,3,
2023,F,Zselyke,3,
2023,F,Amelia-jo,3,
2023,F,Ameliana,3,
2023,F,Antoinette,3,
2023,F,Avarie,3,
2023,F,Aven,3,
2023,F,Baila,3,
2023,F,Darcey-leigh,3,
2023,F,Delfina,3,
2023,F,Elena-rose,3,
2023,F,Elizaveta,3,
2023,F,Ellowynn,3,
2023,F,Insiyah,3,
2023,F,Jayne,3,
2023,F,Kamaia,3,
2023,F,Lale,3,
2023,F,Luenna,3,
2023,F,Makka,3,
2023,F,Manel,3,
2023,F,Nectaria,3,
2023,F,Ottalie,3,
2023,F,Rayven,3,
2023,F,Renna,3,
2023,F,Salima,3,
2023,F,Sydney-rae,3,
2023,F,Ula,3,
2023,F,Umme-habiba,3,
2023,F,Zaelia,3,
2023,F,Zeeya,3,
2023,F,Aashna,3,
2023,F,Adesire,3,
2023,F,Adrija,3,
2023,F,Aizah-nur,3,
2023,F,Arietty,3,
2023,F,Darcie-jean,3,
2023,F,Delilah-louise,3,
2023,F,Halsey,3,
2023,F,Hibba,3,
2023,F,Hukam,3,
2023,F,Indi-rae,3,
2023,F,Janessa,3,
2023,F,Karya,3,
2023,F,Leiara,3,
2023,F,Lucyna,3,
2023,F,Mishti,3,
2023,F,Nelia,3,
2023,F,Oluwakemi,3,
2023,F,Remi-leigh,3,
2023,F,Rozy,3,
2023,F,Ruhaani,3,
2023,F,Ryla,3,
2023,F,Saga,3,
2023,F,Taniyah,3,
2023,F,Tierra,3,
2023,F,Willow-jade,3,
2023,F,Zurielle,3,
2023,F,Zyrah,3,
2023,F,Aadriti,3,
2023,F,Adejola,3,
2023,F,Ahsen,3,
2023,F,Aidah,3,
2023,F,Alanna-rose,3,
2023,F,Allani,3,
2023,F,Annie-may,3,
2023,F,Arika,3,
2023,F,Ashnoor,3,
2023,F,Azaliyah,3,
2023,F,Buddug,3,
2023,F,Dariya,3,
2023,F,Diba,3,
2023,F,Gracelyn,3,
2023,F,Hadis,3,
2023,F,Hasset,3,
2023,F,Helan,3,
2023,F,Josephina,3,
2023,F,Klaudija,3,
2023,F,Krystyna,3,
2023,F,Lacey-louise,3,
2023,F,Leanora,3,
2023,F,Michella,3,
2023,F,Minhal,3,
2023,F,Mofifoluwa,3,
2023,F,Mojolaoluwa,3,
2023,F,Nabeela,3,
2023,F,Nafeesah,3,
2023,F,Natalya,3,
2023,F,Nemy,3,
2023,F,Nova-lee,3,
2023,F,Ruh,3,
2023,F,Sansa,3,
2023,F,Tahliah,3,
2023,F,Tai,3,
2023,F,Vriha,3,
2023,F,Yvaine,3,
2023,F,Aabidah,3,
2023,F,Abisola,3,
2023,F,Adaure,3,
2023,F,Adeliza,3,
2023,F,Alfia,3,
2023,F,Alora-rose,3,
2023,F,Anayza,3,
2023,F,Anira,3,
2023,F,Azeezah,3,
2023,F,Brooklynn,3,
2023,F,Darlene,3,
2023,F,Darling,3,
2023,F,Edina,3,
2023,F,Esmi,3,
2023,F,Frankie-grace,3,
2023,F,Ghazel,3,
2023,F,Goda,3,
2023,F,Hallie-louise,3,
2023,F,Itohan,3,
2023,F,Keyanna,3,
2023,F,Leia-rey,3,
2023,F,Nina-rose,3,
2023,F,Oghenefejiro,3,
2023,F,Pana,3,
