year,sex,name,frequency,proportion
2023,F,Cassandra,3,0.0001342822613132805
2023,F,Emmeline,3,0.0001342822613132805
2023,F,Irene,3,0.0001342822613132805
2023,F,Liyana,3,0.0001342822613132805
2023,F,Meredith,3,0.0001342822613132805
2023,F,Miraal,3,0.0001342822613132805
2023,F,Tiffany,3,0.0001342822613132805
2023,F,Sia,3,0.0001342822613132805
2023,F,Tierney,3,0.0001342822613132805
2023,F,Zion,3,0.0001342822613132805
2023,F,Amarah,3,0.0001342822613132805
2023,F,Paityn,3,0.0001342822613132805
2023,F,Willa,3,0.0001342822613132805
2023,F,Elaine,3,0.0001342822613132805
2023,F,Solei,3,0.0001342822613132805
2023,F,Aryia,3,0.0001342822613132805
2023,F,Ayva,3,0.0001342822613132805
2023,F,Claire,3,0.0001342822613132805
2023,F,Elissa,3,0.0001342822613132805
2023,F,Georgi,3,0.0001342822613132805
2023,F,Arabella-rose,3,0.0001342822613132805
2023,F,Ayzel,3,0.0001342822613132805
2023,F,Blayke,3,0.0001342822613132805
2023,F,Bria,3,0.0001342822613132805
2023,F,Carla,3,0.0001342822613132805
2023,F,Gracie-may,3,0.0001342822613132805
2023,F,Kate,3,0.0001342822613132805
2023,F,Oonagh,3,0.0001342822613132805
2023,F,Zaria,3,0.0001342822613132805
2023,F,Alexis,3,0.0001342822613132805
2023,F,Alisa,3,0.0001342822613132805
2023,F,Bryony,3,0.0001342822613132805
2023,F,Orla-mae,3,0.0001342822613132805
2023,F,Paloma,3,0.0001342822613132805
2023,F,Safaa,3,0.0001342822613132805
2023,F,Madiha,3,0.0001342822613132805
2023,F,Ryley,3,0.0001342822613132805
2023,F,Chikaima,3,0.0001342822613132805
2023,F,Priya,3,0.0001342822613132805
2023,F,Sofia-grace,3,0.0001342822613132805
2023,F,Aliza,3,0.0001342822613132805
2023,F,Esmie,3,0.0001342822613132805
2023,F,Jagoda,3,0.0001342822613132805
2023,F,Jodie,3,0.0001342822613132805
2023,F,Kora,3,0.0001342822613132805
2023,F,Kylie,3,0.0001342822613132805
2023,F,Laya,3,0.0001342822613132805
2023,F,Mahi,3,0.0001342822613132805
2023,F,Nicola,3,0.0001342822613132805
2023,F,Giana,3,0.0001342822613132805
2023,F,Leigh,3,0.0001342822613132805
2023,F,Sanna,3,0.0001342822613132805
2023,F,Zelda,3,0.0001342822613132805
2023,F,Adley,3,0.0001342822613132805
2023,F,Alicia,3,0.0001342822613132805
2023,F,Eryn,3,0.0001342822613132805
2023,F,Hiba,3,0.0001342822613132805
2023,F,Lucille,3,0.0001342822613132805
2023,F,Mannat,3,0.0001342822613132805
2023,F,Michaela,3,0.0001342822613132805
2023,F,Muireann,3,0.0001342822613132805
2023,F,Georgina,3,0.0001342822613132805
2023,F,Giovanna,3,0.0001342822613132805
2023,F,Hailie,3,0.0001342822613132805
2023,F,Mazie,3,0.0001342822613132805
2023,F,Mikaela,3,0.0001342822613132805
2023,F,Rhoda,3,0.0001342822613132805
2023,F,Roslyn,3,0.0001342822613132805
2023,F,Wynter-rose,3,0.0001342822613132805
2023,F,Arlah,3,0.0001342822613132805
2023,F,Kenna,3,0.0001342822613132805
2023,F,Marianna,3,0.0001342822613132805
2023,F,Valeria,3,0.0001342822613132805
2023,F,Vanessa,3,0.0001342822613132805
2023,F,Alissa,3,0.0001342822613132805
2023,F,Amayra,3,0.0001342822613132805
2023,F,Dolly,3,0.0001342822613132805
2023,F,Luci,3,0.0001342822613132805
2023,F,Sidra,3,0.0001342822613132805
2023,F,Astraea,3,0.0001342822613132805
2023,F,Eabha,3,0.0001342822613132805
2023,F,Huda,3,0.0001342822613132805
2023,F,Lina,3,0.0001342822613132805
2023,F,Mallie,3,0.0001342822613132805
2023,F,Aliya,3,0.0001342822613132805
2023,F,Fionnuala,3,0.0001342822613132805
2023,F,Freja,3,0.0001342822613132805
2023,F,Audrey,3,0.0001342822613132805
2023,F,Aviana,3,0.0001342822613132805
2023,F,Petra,3,0.0001342822613132805
2023,F,Avana,3,0.0001342822613132805
2023,F,Catalina,3,0.0001342822613132805
2023,F,Katy,3,0.0001342822613132805
2023,F,Chizaram,3,0.0001342822613132805
2023,F,Dara,3,0.0001342822613132805
2023,F,Honor,3,0.0001342822613132805
2023,F,Nyra,3,0.0001342822613132805
2023,F,Retaj,3,0.0001342822613132805
2023,F,Fearn,3,0.0001342822613132805
2023,F,Harper-rose,3,0.0001342822613132805
2023,F,Adalyn,3,0.0001342822613132805
2023,F,Amayah,3,0.0001342822613132805
2023,F,Asees,3,0.0001342822613132805
2023,F,Emily-jane,3,0.0001342822613132805
